"Metric","Site","cell","x","y","Value","Valid"
"Stability","Unstable",62960,306413.14139151,6664208.19273691,21.212121963501,TRUE
"Stability","Unstable",62961,306433.04139151,6664208.19273691,27.2727279663086,TRUE
"Stability","Unstable",63344,306393.24139151,6664188.29273691,24.2424240112305,TRUE
"Stability","Unstable",63345,306413.14139151,6664188.29273691,33.3333320617676,TRUE
"Stability","Unstable",63346,306433.04139151,6664188.29273691,36.3636360168457,TRUE
"Stability","Unstable",63347,306452.94139151,6664188.29273691,33.3333320617676,TRUE
"Stability","Unstable",63348,306472.84139151,6664188.29273691,33.3333320617676,TRUE
"Stability","Unstable",63729,306393.24139151,6664168.39273691,30.3030300140381,TRUE
"Stability","Unstable",63730,306413.14139151,6664168.39273691,36.3636360168457,TRUE
"Stability","Unstable",63731,306433.04139151,6664168.39273691,45.4545440673828,TRUE
"Stability","Unstable",63732,306452.94139151,6664168.39273691,42.424243927002,TRUE
"Stability","Unstable",63733,306472.84139151,6664168.39273691,42.424243927002,TRUE
"Stability","Unstable",64118,306472.84139151,6664148.49273691,48.4848480224609,TRUE
"Stability","Stable",67993,306970.34139151,6663949.49273691,81.8181838989258,TRUE
"Stability","Stable",67994,306990.24139151,6663949.49273691,78.7878799438477,TRUE
"Stability","Stable",68378,306970.34139151,6663929.59273691,78.7878799438477,TRUE
"Stability","Stable",68379,306990.24139151,6663929.59273691,78.7878799438477,TRUE
"Stability","Stable",68380,307010.14139151,6663929.59273691,81.8181838989258,TRUE
"Stability","Stable",68765,307010.14139151,6663909.69273691,81.8181838989258,TRUE
"Stability","Stable",68766,307030.04139151,6663909.69273691,81.8181838989258,TRUE
"Stability","Stable",68767,307049.94139151,6663909.69273691,84.8484878540039,TRUE
"Stability","Stable",69151,307030.04139151,6663889.79273691,84.8484878540039,TRUE
"Stability","Stable",69152,307049.94139151,6663889.79273691,81.8181838989258,TRUE
"Elevation","Unstable",62960,306413.1414,6664208.1927,-0.140076130628586,TRUE
"Elevation","Unstable",62961,306433.0414,6664208.1927,-0.158249333500862,TRUE
"Elevation","Unstable",63344,306393.2414,6664188.2927,-0.0800553932785988,TRUE
"Elevation","Unstable",63345,306413.1414,6664188.2927,-0.0977024734020233,TRUE
"Elevation","Unstable",63346,306433.0414,6664188.2927,-0.115410752594471,TRUE
"Elevation","Unstable",63347,306452.9414,6664188.2927,-0.133180230855942,TRUE
"Elevation","Unstable",63348,306472.8414,6664188.2927,-0.151806116104126,TRUE
"Elevation","Unstable",63729,306393.2414,6664168.3927,-0.038085300475359,TRUE
"Elevation","Unstable",63730,306413.1414,6664168.3927,-0.0552674569189548,TRUE
"Elevation","Unstable",63731,306433.0414,6664168.3927,-0.0725108161568642,TRUE
"Elevation","Unstable",63732,306452.9414,6664168.3927,-0.0898153707385063,TRUE
"Elevation","Unstable",63733,306472.8414,6664168.3927,-0.108156584203243,TRUE
"Elevation","Unstable",64118,306472.8414,6664148.4927,-0.0643843859434128,TRUE
"Elevation","Stable",67993,306970.3414,6663949.4927,-0.189441367983818,TRUE
"Elevation","Stable",67994,306990.2414,6663949.4927,-0.185232400894165,TRUE
"Elevation","Stable",68378,306970.3414,6663929.5927,-0.15691739320755,TRUE
"Elevation","Stable",68379,306990.2414,6663929.5927,-0.151731759309769,TRUE
"Elevation","Stable",68380,307010.1414,6663929.5927,-0.139593973755836,TRUE
"Elevation","Stable",68765,307010.1414,6663909.6927,-0.103462859988213,TRUE
"Elevation","Stable",68766,307030.0414,6663909.6927,-0.0893069133162498,TRUE
"Elevation","Stable",68767,307049.9414,6663909.6927,-0.0754570364952087,TRUE
"Elevation","Stable",69151,307030.0414,6663889.7927,-0.0505453646183014,TRUE
"Elevation","Stable",69152,307049.9414,6663889.7927,-0.0343712493777275,TRUE
