sample_id,station,core_code,meadow,total_pixels,seagrass_pixels,seagrass_cover_pct,circle_observed_pct,quality_flag,longitude,latitude,ndvi_mean,ndvi_sd,ndvi_n_pixels,ndvi_raster,spc_fitted
1AS,1,A,Stable,1679263,462346,27.53000000,100.00000000,ok,-2.17207044,46.95981844,0.32960432,0.05481266,76,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,30.15622248
1AU,1,A,Unstable,3327439,708126,21.28000000,100.00000000,ok,-2.17926391,46.96140081,0.18976111,0.03146748,249,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,19.95635064
1NS,1,N,Stable,3327429,1189681,35.75000000,100.00000000,ok,-2.17207558,46.95983356,0.37741057,0.03138645,76,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,34.25079600
1NU,1,N,Unstable,3327395,1015073,30.51000000,100.00000000,ok,-2.17926461,46.96141214,0.45391707,0.07707165,247,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,41.29697957
2AS,2,A,Stable,1727851,672017,38.89000000,100.00000000,ok,-2.17195368,46.95985525,0.27216761,0.05513714,76,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,25.62750785
2AU,2,A,Unstable,3301849,739349,22.39000000,100.00000000,ok,-2.17931724,46.96149194,0.40072488,0.08183973,252,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,36.34123469
2NS,2,N,Stable,2011316,326908,16.25000000,100.00000000,ok,-2.17196299,46.95984133,0.21691042,0.03974360,74,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,21.71400758
2NU,2,N,Unstable,5467185,2163540,39.57000000,100.00000000,ok,-2.17932463,46.96148220,0.40357146,0.10405366,245,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,36.60023079
3AS,3,A,Stable,1297221,868943,66.98000000,100.00000000,ok,-2.17167860,46.95972490,0.60466741,0.03148077,72,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif,55.97838172
3AU,3,A,Unstable,4765747,1596662,33.50000000,100.00000000,ok,-2.17946750,46.96163528,0.37983082,0.06912598,248,Data/MS_DRONE/REWRITE_Jim_08092026_Unstable/Unstable_092026_NDVI.tif,34.46514550
