sample_id,station,core_code,treatment,meadow,period,ndvi_mean,ndvi_sd,ndvi_n_pixels,ndvi_raster
1AS,1,A,Treatment,Stable,2026-06-01,0.18151180,0.04203033,268,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
1NS,1,N,Control,Stable,2026-06-01,0.26632988,0.11303577,266,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
2AS,2,A,Treatment,Stable,2026-06-01,0.15858489,0.07868554,267,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
2NS,2,N,Control,Stable,2026-06-01,0.11989039,0.04052640,266,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
3AS,3,A,Treatment,Stable,2026-06-01,0.23400642,0.08958036,268,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
3NS,3,N,Control,Stable,2026-06-01,0.27007988,0.08485007,266,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
4AS,4,A,Treatment,Stable,2026-06-01,0.20638288,0.11239147,270,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
4NS,4,N,Control,Stable,2026-06-01,0.25933577,0.13380717,269,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
5AS,5,A,Treatment,Stable,2026-06-01,0.15146137,0.06507775,271,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
5NS,5,N,Control,Stable,2026-06-01,0.16633389,0.06715520,266,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
6AS,6,A,Treatment,Stable,2026-06-01,0.22681084,0.06382853,266,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
6NS,6,N,Control,Stable,2026-06-01,0.19621237,0.12263989,268,Data/MS_DRONE/REWRITE_Jim_18062026_Stable/Stable_062026_NDVI.tif
1AU,1,A,Treatment,Unstable,2026-06-01,0.17940052,0.04283867,255,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
1NU,1,N,Control,Unstable,2026-06-01,0.58443852,0.17354412,259,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
2AU,2,A,Treatment,Unstable,2026-06-01,0.15156510,0.06572392,258,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
2NU,2,N,Control,Unstable,2026-06-01,0.14161038,0.05878529,258,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
3AU,3,A,Treatment,Unstable,2026-06-01,0.19319633,0.11681207,253,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
3NU,3,N,Control,Unstable,2026-06-01,0.41860041,0.24988088,257,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
4AU,4,A,Treatment,Unstable,2026-06-01,0.22296921,0.08803332,259,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
4NU,4,N,Control,Unstable,2026-06-01,0.18677987,0.06026836,257,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
5AU,5,A,Treatment,Unstable,2026-06-01,0.13475792,0.03078392,255,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
5NU,5,N,Control,Unstable,2026-06-01,0.19176052,0.10417469,257,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
6AU,6,A,Treatment,Unstable,2026-06-01,0.58084816,0.09526830,258,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
6NU,6,N,Control,Unstable,2026-06-01,0.15234883,0.04771127,253,Data/MS_DRONE/REWRITE_Jim_18062026_Unstable/Unstable_062026_NDVI.tif
