sample_id,station,core_code,meadow,total_pixels,seagrass_pixels,seagrass_cover_pct,circle_observed_pct,quality_flag
1AS,1,A,Stable,1679263,462346,27.53,100.0,ok
1AU,1,A,Unstable,3327439,708126,21.28,100.0,ok
1NS,1,N,Stable,3327429,1189681,35.75,100.0,ok
1NU,1,N,Unstable,3327395,1015073,30.51,100.0,ok
2AS,2,A,Stable,1727851,672017,38.89,100.0,ok
2AU,2,A,Unstable,3301849,739349,22.39,100.0,ok
2NS,2,N,Stable,2011316,326908,16.25,100.0,ok
2NU,2,N,Unstable,5467185,2163540,39.57,100.0,ok
3AS,3,A,Stable,1297221,868943,66.98,100.0,ok
3AU,3,A,Unstable,4765747,1596662,33.5,100.0,ok
3NS,3,N,Stable,2576672,1592296,61.8,100.0,ok
3NU,3,N,Unstable,2576679,799686,31.04,100.0,ok
4AS,4,A,Stable,3651898,1466208,40.15,100.0,ok
4AU,4,A,Unstable,5625579,1809658,32.17,100.0,ok
4NS,4,N,Stable,3008861,1387695,46.12,100.0,ok
4NU,4,N,Unstable,5782400,1436230,24.84,100.0,ok
5AS,5,A,Stable,2386764,1121150,46.97,100.0,ok
5AU,5,A,Unstable,2683017,708819,26.42,100.0,ok
5NS,5,N,Stable,1865644,366701,19.66,100.0,ok
5NU,5,N,Unstable,1865645,892498,47.84,100.0,ok
6AS,6,A,Stable,2700245,1190620,44.09,100.0,ok
6AU,6,A,Unstable,3665454,1521382,41.51,100.0,ok
6NS,6,N,Stable,2608018,819913,31.44,100.0,ok
6NU,6,N,Unstable,2607933,753292,28.88,100.0,ok
