"Station","InnerCore","Treatment","Area","Pair","Core","Scope","Total","Richness","Shannon","Groups"
"1AS","2026-475","Treatment","Stable","Stable_1","1AS","All bivalves",17,3,0.868719682914265,7
"1AU","2026-453","Treatment","Unstable","Unstable_1","1AU","All bivalves",35,3,0.258640932106732,7
"1NS","2026-449","Control","Stable","Stable_1","1NS","All bivalves",5,2,0.673011667009257,7
"1NU","2026-472","Control","Unstable","Unstable_1","1NU","All bivalves",16,3,0.777462131910929,7
"2AS","2026-480","Treatment","Stable","Stable_2","2AS","All bivalves",12,2,0.286835983056161,7
"2AU","2026-455","Treatment","Unstable","Unstable_2","2AU","All bivalves",57,4,0.872086819436608,7
"2NS","2026-469","Control","Stable","Stable_2","2NS","All bivalves",10,4,1.27985422583367,7
"2NU","2026-457","Control","Unstable","Unstable_2","2NU","All bivalves",20,4,0.998931504603559,7
"3AS","2026-460","Treatment","Stable","Stable_3","3AS","All bivalves",30,3,0.882310924515076,7
"3AU","2026-451","Treatment","Unstable","Unstable_3","3AU","All bivalves",20,3,0.801818552543337,7
"3NS","2026-454","Control","Stable","Stable_3","3NS","All bivalves",10,3,0.801818552543337,7
"3NU","2026-452","Control","Unstable","Unstable_3","3NU","All bivalves",7,3,0.955699891112534,7
"4AS","2026-474","Treatment","Stable","Stable_4","4AS","All bivalves",43,3,0.417631475831185,7
"4AU","2026-456","Treatment","Unstable","Unstable_4","4AU","All bivalves",46,4,0.69359349761615,7
"4NS","2026-458","Control","Stable","Stable_4","4NS","All bivalves",10,4,1.08889997534522,7
"4NU","2026-467","Control","Unstable","Unstable_4","4NU","All bivalves",5,3,0.950270539233235,7
"5AS","2026-468","Treatment","Stable","Stable_5","5AS","All bivalves",30,4,1.13433798691149,7
"5AU","2026-461","Treatment","Unstable","Unstable_5","5AU","All bivalves",28,5,1.04926491384339,7
"5NS","2026-476","Control","Stable","Stable_5","5NS","All bivalves",1,1,0,7
"5NU","2026-459","Control","Unstable","Unstable_5","5NU","All bivalves",7,3,0.955699891112534,7
"6AS","2026-450","Treatment","Stable","Stable_6","6AS","All bivalves",41,4,0.68367538770729,7
"6AU","2026-473","Treatment","Unstable","Unstable_6","6AU","All bivalves",52,5,1.07136627845625,7
"6NS","2026-471","Control","Stable","Stable_6","6NS","All bivalves",4,2,0.562335144618808,7
"6NU","2026-477","Control","Unstable","Unstable_6","6NU","All bivalves",6,4,1.242453324894,7
"1AS","2026-475","Treatment","Stable","Stable_1","1AS","Without Loripes",8,2,0.376770161256437,6
"1AU","2026-453","Treatment","Unstable","Unstable_1","1AU","Without Loripes",2,2,0.693147180559945,6
"1NS","2026-449","Control","Stable","Stable_1","1NS","Without Loripes",5,2,0.673011667009257,6
"1NU","2026-472","Control","Unstable","Unstable_1","1NU","Without Loripes",16,3,0.777462131910929,6
"2AS","2026-480","Treatment","Stable","Stable_2","2AS","Without Loripes",1,1,0,6
"2AU","2026-455","Treatment","Unstable","Unstable_2","2AU","Without Loripes",18,3,0.786701237916914,6
"2NS","2026-469","Control","Stable","Stable_2","2NS","Without Loripes",6,3,1.01140426470735,6
"2NU","2026-457","Control","Unstable","Unstable_2","2NU","Without Loripes",20,4,0.998931504603559,6
"3AS","2026-460","Treatment","Stable","Stable_3","3AS","Without Loripes",14,2,0.410116318288409,6
"3AU","2026-451","Treatment","Unstable","Unstable_3","3AU","Without Loripes",6,2,0.636514168294813,6
"3NS","2026-454","Control","Stable","Stable_3","3NS","Without Loripes",10,3,0.801818552543337,6
"3NU","2026-452","Control","Unstable","Unstable_3","3NU","Without Loripes",7,3,0.955699891112534,6
"4AS","2026-474","Treatment","Stable","Stable_4","4AS","Without Loripes",5,2,0.500402423538188,6
"4AU","2026-456","Treatment","Unstable","Unstable_4","4AU","Without Loripes",11,3,0.600166073159646,6
"4NS","2026-458","Control","Stable","Stable_4","4NS","Without Loripes",8,3,0.735621939758795,6
"4NU","2026-467","Control","Unstable","Unstable_4","4NU","Without Loripes",4,2,0.562335144618808,6
"5AS","2026-468","Treatment","Stable","Stable_5","5AS","Without Loripes",19,3,0.753442461180238,6
"5AU","2026-461","Treatment","Unstable","Unstable_5","5AU","Without Loripes",9,4,1.31078367809971,6
"5NS","2026-476","Control","Stable","Stable_5","5NS","Without Loripes",1,1,0,6
"5NU","2026-459","Control","Unstable","Unstable_5","5NU","Without Loripes",7,3,0.955699891112534,6
"6AS","2026-450","Treatment","Stable","Stable_6","6AS","Without Loripes",8,3,0.974314752869349,6
"6AU","2026-473","Treatment","Unstable","Unstable_6","6AU","Without Loripes",19,4,1.13555069716037,6
"6NS","2026-471","Control","Stable","Stable_6","6NS","Without Loripes",4,2,0.562335144618808,6
"6NU","2026-477","Control","Unstable","Unstable_6","6NU","Without Loripes",6,4,1.242453324894,6
