"Station","InnerCore","Core","Pair","Treatment","Area","Replicat","Value","remark"
"1AS","2026-475","1AS","Stable_1","Treatment","Stable",1,93,NA
"1AS","2026-475","1AS","Stable_1","Treatment","Stable",2,96.5,NA
"1AS","2026-475","1AS","Stable_1","Treatment","Stable",3,120,NA
"1AS","2026-475","1AS","Stable_1","Treatment","Stable",4,107,NA
"1AS","2026-475","1AS","Stable_1","Treatment","Stable",5,82,NA
"1AU","2026-453","1AU","Unstable_1","Treatment","Unstable",1,88,NA
"1AU","2026-453","1AU","Unstable_1","Treatment","Unstable",2,142,NA
"1AU","2026-453","1AU","Unstable_1","Treatment","Unstable",3,55,NA
"1AU","2026-453","1AU","Unstable_1","Treatment","Unstable",4,50,NA
"1AU","2026-453","1AU","Unstable_1","Treatment","Unstable",5,55,NA
"1NS","2026-449","1NS","Stable_1","Control","Stable",1,66.7,NA
"1NS","2026-449","1NS","Stable_1","Control","Stable",2,76.6,NA
"1NS","2026-449","1NS","Stable_1","Control","Stable",3,55.8,NA
"1NS","2026-449","1NS","Stable_1","Control","Stable",4,71.3,NA
"1NS","2026-449","1NS","Stable_1","Control","Stable",5,40.2,NA
"1NU","2026-472","1NU","Unstable_1","Control","Unstable",1,22.8,NA
"1NU","2026-472","1NU","Unstable_1","Control","Unstable",2,15.2,NA
"1NU","2026-472","1NU","Unstable_1","Control","Unstable",3,12.1,NA
"1NU","2026-472","1NU","Unstable_1","Control","Unstable",4,9.5,NA
"1NU","2026-472","1NU","Unstable_1","Control","Unstable",5,21,NA
"2AS","2026-480","2AS","Stable_2","Treatment","Stable",1,85,NA
"2AS","2026-480","2AS","Stable_2","Treatment","Stable",2,88,NA
"2AS","2026-480","2AS","Stable_2","Treatment","Stable",3,48,NA
"2AS","2026-480","2AS","Stable_2","Treatment","Stable",4,100,NA
"2AS","2026-480","2AS","Stable_2","Treatment","Stable",5,82,NA
"2AU","2026-455","2AU","Unstable_2","Treatment","Unstable",1,129,NA
"2AU","2026-455","2AU","Unstable_2","Treatment","Unstable",2,112,NA
"2AU","2026-455","2AU","Unstable_2","Treatment","Unstable",3,117,NA
"2AU","2026-455","2AU","Unstable_2","Treatment","Unstable",4,138,NA
"2AU","2026-455","2AU","Unstable_2","Treatment","Unstable",5,143,NA
"2NS","2026-469","2NS","Stable_2","Control","Stable",1,90,NA
"2NS","2026-469","2NS","Stable_2","Control","Stable",2,94,NA
"2NS","2026-469","2NS","Stable_2","Control","Stable",3,130,NA
"2NS","2026-469","2NS","Stable_2","Control","Stable",4,67,NA
"2NS","2026-469","2NS","Stable_2","Control","Stable",5,97,NA
"2NU","2026-457","2NU","Unstable_2","Control","Unstable",1,57,NA
"2NU","2026-457","2NU","Unstable_2","Control","Unstable",2,91,NA
"2NU","2026-457","2NU","Unstable_2","Control","Unstable",3,79,NA
"2NU","2026-457","2NU","Unstable_2","Control","Unstable",4,72,NA
"2NU","2026-457","2NU","Unstable_2","Control","Unstable",5,92,NA
"3AS","2026-460","3AS","Stable_3","Treatment","Stable",1,84.7,NA
"3AS","2026-460","3AS","Stable_3","Treatment","Stable",2,82.3,NA
"3AS","2026-460","3AS","Stable_3","Treatment","Stable",3,99.1,NA
"3AS","2026-460","3AS","Stable_3","Treatment","Stable",4,93,NA
"3AS","2026-460","3AS","Stable_3","Treatment","Stable",5,88.6,NA
"3AU","2026-451","3AU","Unstable_3","Treatment","Unstable",1,99,NA
"3AU","2026-451","3AU","Unstable_3","Treatment","Unstable",2,123,NA
"3AU","2026-451","3AU","Unstable_3","Treatment","Unstable",3,117.6,NA
"3AU","2026-451","3AU","Unstable_3","Treatment","Unstable",4,121.4,NA
"3AU","2026-451","3AU","Unstable_3","Treatment","Unstable",5,122.2,NA
"3NS","2026-454","3NS","Stable_3","Control","Stable",1,111,NA
"3NS","2026-454","3NS","Stable_3","Control","Stable",2,96,NA
"3NS","2026-454","3NS","Stable_3","Control","Stable",3,121,NA
"3NS","2026-454","3NS","Stable_3","Control","Stable",4,119,NA
"3NS","2026-454","3NS","Stable_3","Control","Stable",5,164,NA
"3NU","2026-452","3NU","Unstable_3","Control","Unstable",1,80.6,NA
"3NU","2026-452","3NU","Unstable_3","Control","Unstable",2,94,NA
"3NU","2026-452","3NU","Unstable_3","Control","Unstable",3,46.3,NA
"3NU","2026-452","3NU","Unstable_3","Control","Unstable",4,41.3,NA
"3NU","2026-452","3NU","Unstable_3","Control","Unstable",5,39.3,NA
"4AS","2026-474","4AS","Stable_4","Treatment","Stable",1,147,NA
"4AS","2026-474","4AS","Stable_4","Treatment","Stable",2,90,NA
"4AS","2026-474","4AS","Stable_4","Treatment","Stable",3,89,NA
"4AS","2026-474","4AS","Stable_4","Treatment","Stable",4,93,NA
"4AS","2026-474","4AS","Stable_4","Treatment","Stable",5,124,NA
"4AU","2026-456","4AU","Unstable_4","Treatment","Unstable",1,397.8,NA
"4AU","2026-456","4AU","Unstable_4","Treatment","Unstable",2,108.9,NA
"4AU","2026-456","4AU","Unstable_4","Treatment","Unstable",3,205.5,NA
"4AU","2026-456","4AU","Unstable_4","Treatment","Unstable",4,119.5,NA
"4AU","2026-456","4AU","Unstable_4","Treatment","Unstable",5,121.2,NA
"4NS","2026-458","4NS","Stable_4","Control","Stable",1,63.7,NA
"4NS","2026-458","4NS","Stable_4","Control","Stable",2,42.1,NA
"4NS","2026-458","4NS","Stable_4","Control","Stable",3,87.5,NA
"4NS","2026-458","4NS","Stable_4","Control","Stable",4,95.1,NA
"4NS","2026-458","4NS","Stable_4","Control","Stable",5,105.5,NA
"4NU","2026-467","4NU","Unstable_4","Control","Unstable",1,124,NA
"4NU","2026-467","4NU","Unstable_4","Control","Unstable",2,140,NA
"4NU","2026-467","4NU","Unstable_4","Control","Unstable",3,166,NA
"4NU","2026-467","4NU","Unstable_4","Control","Unstable",4,192,NA
"4NU","2026-467","4NU","Unstable_4","Control","Unstable",5,170,NA
"5AS","2026-468","5AS","Stable_5","Treatment","Stable",1,74,NA
"5AS","2026-468","5AS","Stable_5","Treatment","Stable",2,170,NA
"5AS","2026-468","5AS","Stable_5","Treatment","Stable",3,182,NA
"5AS","2026-468","5AS","Stable_5","Treatment","Stable",4,60,NA
"5AS","2026-468","5AS","Stable_5","Treatment","Stable",5,90,NA
"5AU","2026-461","5AU","Unstable_5","Treatment","Unstable",1,150.3,NA
"5AU","2026-461","5AU","Unstable_5","Treatment","Unstable",2,140.1,NA
"5AU","2026-461","5AU","Unstable_5","Treatment","Unstable",3,130.3,NA
"5AU","2026-461","5AU","Unstable_5","Treatment","Unstable",4,148.1,NA
"5AU","2026-461","5AU","Unstable_5","Treatment","Unstable",5,142,NA
"5NS","2026-476","5NS","Stable_5","Control","Stable",1,91,NA
"5NS","2026-476","5NS","Stable_5","Control","Stable",2,82,NA
"5NS","2026-476","5NS","Stable_5","Control","Stable",3,98,NA
"5NS","2026-476","5NS","Stable_5","Control","Stable",4,133,NA
"5NS","2026-476","5NS","Stable_5","Control","Stable",5,105,NA
"5NU","2026-459","5NU","Unstable_5","Control","Unstable",1,69,NA
"5NU","2026-459","5NU","Unstable_5","Control","Unstable",2,81,NA
"5NU","2026-459","5NU","Unstable_5","Control","Unstable",3,77,NA
"5NU","2026-459","5NU","Unstable_5","Control","Unstable",4,110,NA
"5NU","2026-459","5NU","Unstable_5","Control","Unstable",5,61,NA
"6AS","2026-450","6AS","Stable_6","Treatment","Stable",1,114,NA
"6AS","2026-450","6AS","Stable_6","Treatment","Stable",2,140,NA
"6AS","2026-450","6AS","Stable_6","Treatment","Stable",3,75,NA
"6AS","2026-450","6AS","Stable_6","Treatment","Stable",4,103,NA
"6AS","2026-450","6AS","Stable_6","Treatment","Stable",5,151,NA
"6AU","2026-473","6AU","Unstable_6","Treatment","Unstable",1,103,NA
"6AU","2026-473","6AU","Unstable_6","Treatment","Unstable",2,154,"white part / really soft"
"6AU","2026-473","6AU","Unstable_6","Treatment","Unstable",3,169,NA
"6AU","2026-473","6AU","Unstable_6","Treatment","Unstable",4,132,NA
"6AU","2026-473","6AU","Unstable_6","Treatment","Unstable",5,139,NA
"6NS","2026-471","6NS","Stable_6","Control","Stable",1,122,NA
"6NS","2026-471","6NS","Stable_6","Control","Stable",2,160,NA
"6NS","2026-471","6NS","Stable_6","Control","Stable",3,90,NA
"6NS","2026-471","6NS","Stable_6","Control","Stable",4,109,NA
"6NS","2026-471","6NS","Stable_6","Control","Stable",5,130,NA
"6NU","2026-477","6NU","Unstable_6","Control","Unstable",1,125,NA
"6NU","2026-477","6NU","Unstable_6","Control","Unstable",2,141,NA
"6NU","2026-477","6NU","Unstable_6","Control","Unstable",3,144,NA
"6NU","2026-477","6NU","Unstable_6","Control","Unstable",4,118,NA
"6NU","2026-477","6NU","Unstable_6","Control","Unstable",5,11,NA
