"Station","InnerCore","Treatment","Area","Pair","Core","Measured","Count"
"1AS","2026-475","Treatment","Stable","Stable_1","1AS",9,9
"1AU","2026-453","Treatment","Unstable","Unstable_1","1AU",25,33
"1NS","2026-449","Control","Stable","Stable_1","1NS",0,0
"1NU","2026-472","Control","Unstable","Unstable_1","1NU",0,0
"2AS","2026-480","Treatment","Stable","Stable_2","2AS",16,11
"2AU","2026-455","Treatment","Unstable","Unstable_2","2AU",23,39
"2NS","2026-469","Control","Stable","Stable_2","2NS",4,4
"2NU","2026-457","Control","Unstable","Unstable_2","2NU",0,0
"3AS","2026-460","Treatment","Stable","Stable_3","3AS",16,16
"3AU","2026-451","Treatment","Unstable","Unstable_3","3AU",14,14
"3NS","2026-454","Control","Stable","Stable_3","3NS",0,0
"3NU","2026-452","Control","Unstable","Unstable_3","3NU",0,0
"4AS","2026-474","Treatment","Stable","Stable_4","4AS",25,38
"4AU","2026-456","Treatment","Unstable","Unstable_4","4AU",25,35
"4NS","2026-458","Control","Stable","Stable_4","4NS",2,2
"4NU","2026-467","Control","Unstable","Unstable_4","4NU",1,1
"5AS","2026-468","Treatment","Stable","Stable_5","5AS",11,11
"5AU","2026-461","Treatment","Unstable","Unstable_5","5AU",18,19
"5NS","2026-476","Control","Stable","Stable_5","5NS",0,0
"5NU","2026-459","Control","Unstable","Unstable_5","5NU",0,0
"6AS","2026-450","Treatment","Stable","Stable_6","6AS",25,33
"6AU","2026-473","Treatment","Unstable","Unstable_6","6AU",25,33
"6NS","2026-471","Control","Stable","Stable_6","6NS",0,0
"6NU","2026-477","Control","Unstable","Unstable_6","6NU",0,0
