"Model","Statistic","Observed","Lower","Upper","Outside_support"
"leaf","Mean",103.664166666667,99.5578322678776,113.242556881332,0
"leaf","SD",47.799811531982,47.6942239586783,67.2175217760566,0
"leaf","Minimum",9.5,8.67263613232353,17.9675594143523,0
"leaf","Maximum",397.8,254.477259837009,441.043445905691,0
"leaf","SD of core means",35.9230418868697,35.0656867088182,51.3180153044375,0
"richness_all","Mean",3.29166666666667,2.91666666666667,3.79166666666667,0
"richness_all","SD",0.954584665735822,1.03209369308428,1.74263454104169,0
"richness_all","Minimum",1,0,2,0
"richness_all","Maximum",5,5,7,0
"shannon_all","Mean",0.804446636798126,0.680351850481818,0.931079161631164,0.0230416666666667
"shannon_all","SD",0.317907129580898,0.277056550040168,0.485570082893237,0.0230416666666667
"shannon_all","Minimum",0,-0.215737113071091,0.331942032594153,0.0230416666666667
"shannon_all","Maximum",1.27985422583367,1.27712933738982,1.84757478081829,0.0230416666666667
"richness_other","Mean",2.66666666666667,2.375,3.125,0
"richness_other","SD",0.868114732282431,0.884651736929383,1.52989532653215,0
"richness_other","Minimum",1,0,1,0
"richness_other","Maximum",4,4,6,0
"shannon_other","Mean",0.727278442050581,0.621956314246991,0.845658162629267,0.031875
"shannon_other","SD",0.331041749992188,0.283127621730631,0.486129842935318,0.031875
"shannon_other","Minimum",0,-0.317600483896113,0.261473698809958,0.031875
"shannon_other","Maximum",1.31078367809971,1.191939191988,1.73889954297468,0.031875
"loripes","Mean",8.42966527196653,8.19357555814503,8.69414259630727,0
"loripes","SD",2.31113724163479,2.13940103434057,2.67736871474104,0
"loripes","Minimum",3.8,3.37336536018262,4.42069062721573,0
"loripes","Maximum",19,15.9579906914498,23.1447115378027,0
"loripes","SD of core means",2.62978225093181,1.45122134215074,3.64076705040045,0
