"Estimate","Lower","Upper","Probability_positive","Area","Model","Outcome"
7.76383551279613,-15.6393398111593,30.6270581753442,0.679333333333333,"Stable","leaf","Leaf length (mm)"
61.4756957030131,34.636255200297,89.9679027611322,0.998,"Unstable","leaf","Leaf length (mm)"
0.276437989818809,-0.250743041446881,0.826983343212707,0.747,"Stable","richness_all","Taxon-group richness: All bivalves"
0.597929269063884,-0.00846252547836102,1.26963391096329,0.88725,"Unstable","richness_all","Taxon-group richness: All bivalves"
-0.03180207820476,-0.267803252092077,0.205591321160072,0.432083333333333,"Stable","shannon_all","Shannon diversity: All bivalves"
-0.17735118880249,-0.415022939591917,0.062643759286157,0.17275,"Unstable","shannon_all","Shannon diversity: All bivalves"
-0.164086564394437,-0.612498776228825,0.293557234184825,0.31925,"Stable","richness_other","Taxon-group richness: Without Loripes"
-0.0528796975467016,-0.636805751964932,0.506096623782758,0.453416666666667,"Unstable","richness_other","Taxon-group richness: Without Loripes"
-0.127381388430405,-0.355801489590074,0.0848912584073541,0.223166666666667,"Stable","shannon_other","Shannon diversity: Without Loripes"
-0.0541781231408328,-0.282470340715404,0.165535384977223,0.376333333333333,"Unstable","shannon_other","Shannon diversity: Without Loripes"
-5.06468219869523,-6.8922444002547,-3.22655965484804,0,"Pooled","loripes","Loripes shell length (mm)"
