ndvi,spc_fitted,spc_lower_95,spc_upper_95
0.18976111,19.95635064,14.39171502,25.52098626
0.19184606,20.08745758,14.53891686,25.63599830
0.19393102,20.21920827,14.68709918,25.75131736
0.19601598,20.35160303,14.83626136,25.86694470
0.19810093,20.48464211,14.98640261,25.98288161
0.20018589,20.61832574,15.13752198,26.09912949
0.20227084,20.75265410,15.28961835,26.21568985
0.20435580,20.88762733,15.44269039,26.33256427
0.20644076,21.02324554,15.59673663,26.44975445
0.20852571,21.15950877,15.75175536,26.56726217
0.21061067,21.29641704,15.90774472,26.68508935
0.21269563,21.43397031,16.06470262,26.80323801
0.21478058,21.57216853,16.22262678,26.92171027
0.21686554,21.71101156,16.38151472,27.04050840
0.21895049,21.85049924,16.54136371,27.15963477
0.22103545,21.99063137,16.70217084,27.27909190
0.22312041,22.13140769,16.86393294,27.39888245
0.22520536,22.27282791,17.02664662,27.51900920
0.22729032,22.41489168,17.19030826,27.63947509
0.22937528,22.55759860,17.35491398,27.76028322
0.23146023,22.70094825,17.52045966,27.88143684
0.23354519,22.84494013,17.68694091,28.00293935
0.23563015,22.98957371,17.85435307,28.12479435
0.23771510,23.13484842,18.02269123,28.24700561
0.23980006,23.28076361,18.19195018,28.36957705
0.24188501,23.42731863,18.36212442,28.49251283
0.24396997,23.57451272,18.53320816,28.61581728
0.24605493,23.72234513,18.70519532,28.73949494
0.24813988,23.87081502,18.87807949,28.86355056
0.25022484,24.01992153,19.05185393,28.98798912
0.25230980,24.16966371,19.22651159,29.11281583
0.25439475,24.32004060,19.40204508,29.23803612
0.25647971,24.47105116,19.57844664,29.36365568
0.25856466,24.62269432,19.75570818,29.48968046
0.26064962,24.77496895,19.93382123,29.61611667
0.26273458,24.92787386,20.11277693,29.74297079
0.26481953,25.08140781,20.29256605,29.87024958
0.26690449,25.23556953,20.47317894,29.99796012
0.26898945,25.39035766,20.65460557,30.12610976
0.27107440,25.54577082,20.83683545,30.25470619
0.27315936,25.70180756,21.01985769,30.38375742
0.27524432,25.85846637,21.20366094,30.51327180
